"TIME","HEART_RATE"
0,109
1,114
2,113
3,112
4,112
5,111
6,110
7,110
8,109
9,109
10,108
11,108
12,108
13,108
14,107
15,106
16,106
17,106
18,106
19,106
20,105
21,105
22,105
23,105
24,105
25,106
26,106
27,106
28,107
29,108
30,109
31,110
32,110
33,110
34,109
35,109
36,109
37,108
38,108
39,109
40,108
41,108
42,110
43,110
44,109
45,111
46,111
47,111
48,111
49,112
50,112
51,113
52,113
53,113
54,114
55,114
56,115
57,115
58,116
59,116
60,115
61,116
62,117
63,118
64,119
65,120
66,120
67,121
68,120
69,119
70,119
71,119
72,119
73,120
74,120
75,117
76,115
77,115
78,116
79,118
80,116
81,115
82,115
83,115
84,115
85,114
86,114
87,113
88,113
89,112
90,112
91,111
92,110
93,110
94,109
95,108
96,108
97,109
98,110
99,110
100,110
101,110
102,110
103,109
104,109
105,108
106,108
107,107
108,106
109,105
110,104
111,102
112,100
113,98
114,96
115,94
116,92
117,91
118,89
119,88
120,86
121,86
122,88
123,88
124,87
125,86
126,85
127,84
128,83
129,83
130,83
131,83
132,84
133,84
134,83
135,83
136,83
137,85
138,86
139,85
140,85
141,82
142,83
143,85
144,90
145,92
146,96
147,97
148,100
149,100
150,100
151,101
152,102
153,103
154,103
155,103
156,102
157,102
158,103
159,103
160,103
161,103
162,102
163,101
164,101
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,99
173,99
174,99
175,99
176,98
177,98
178,97
179,98
